CustomerID,MeterID,Region,ConnectionType,ReadingDate,Energy_kWh,BillingAmount,PaymentStatus,TariffCode,Remarks
C0001,M6587,East,Commercial,01/02/2023,753.59,NA,Paid,T3,Check meter
C0002,M9122,East,Residential,2023-03-13,99999,,Paid,T3,
C0003,M1018,North,Commercial,03/03/2023,99999,,Paid,T2,Replaced
C0004,M1615,West,Commercial,2023-01-23,,NA,,T2,Check meter
C0005,M7523,North,Residential,09/02/2023,,,,T2,OK
C0006,M2919,West,Residential,05-23-2023,,4251.01,,T1,Duplicate
C0007,M6650,North,Commercial,01-27-2023,,NA,,T3,Replaced
C0008,M8168,West,Commercial,01-02-2023,99999,,,T1,Replaced
C0009,M4352,South,Commercial,02-26-2023,,,,T2,Duplicate
C0010,M3965,West,Commercial,2023-03-31,99999,1478.62,Paid,T3,
C0011,M6117,South,Residential,02-15-2023,426.57,4817.6,,T1,Duplicate
C0012,M4035,South,Commercial,09/05/2023,,NA,Unpaid,T3,OK
C0013,M6083,South,Residential,2023-04-12,235.56,1798.4,,T3,Check meter
C0014,M5088,East,Commercial,2023-06-12,,NA,Paid,T1,Check meter
C0015,M3145,West,Residential,2023-01-28,,1397.04,Unpaid,T1,Replaced
C0016,M7787,East,Residential,2023-01-06,,,Unpaid,T3,OK
C0017,M8123,North,Residential,05/01/2023,,,Paid,T1,Replaced
C0018,M5705,North,Residential,2023-05-22,,NA,Paid,T3,OK
C0019,M8192,South,Commercial,2023-02-16,518.9,,,T1,Duplicate
C0020,M4721,West,Commercial,05-29-2023,683.0,NA,,T1,OK
C0021,M5820,West,Residential,05/06/2023,,,Unpaid,T2,OK
C0022,M3966,North,Residential,11/04/2023,542.73,,Unpaid,T2,Duplicate
C0023,M4181,East,Commercial,04/02/2023,379.05,NA,Unpaid,T3,OK
C0024,M1110,North,Residential,21/01/2023,,,,T3,Check meter
C0025,M9321,West,Residential,2023-06-10,,NA,,T2,Replaced
C0026,M5061,East,Residential,2023-02-17,387.63,975.1,,T1,Duplicate
C0027,M7841,South,Residential,2023-02-06,,NA,,T3,OK
C0028,M6915,North,Commercial,2023-06-21,681.23,NA,Paid,T3,Replaced
C0029,M2751,South,Commercial,2023-02-07,99999,,,T3,
C0030,M3272,East,Commercial,18/02/2023,99999,,,T3,Check meter
C0031,M8481,East,Commercial,01-18-2023,99999,NA,,T2,Replaced
C0032,M5356,West,Residential,05-22-2023,,1423.53,Unpaid,T3,Duplicate
C0033,M3038,East,Commercial,2023-03-16,,,,T3,Replaced
C0034,M6447,West,Residential,2023-04-11,99999,,Paid,T1,OK
C0035,M2703,East,Residential,02-16-2023,,,,T3,
C0036,M8264,North,Commercial,02-17-2023,,2734.43,,T3,Replaced
C0037,M4014,South,Commercial,04-24-2023,1038.35,,Paid,T1,Check meter
C0038,M4957,North,Commercial,16/05/2023,99999,,,T1,Replaced
C0039,M8555,North,Commercial,2023-05-24,764.67,,,T1,Check meter
C0040,M3492,South,Commercial,15/06/2023,99999,NA,,T1,Check meter
C0041,M2757,South,Residential,17/03/2023,,,,T1,Replaced
C0042,M8338,East,Commercial,01-07-2023,768.47,,,T2,Check meter
C0043,M5668,North,Residential,,,NA,,T3,Replaced
C0044,M3204,North,Commercial,2023-04-17,,4212.76,,T2,Replaced
C0045,M9466,North,Commercial,2023-03-09,1142.5,3390.49,,T2,
C0046,M1787,North,Residential,02-19-2023,99999,4699.79,Paid,T3,Check meter
C0047,M1619,South,Commercial,05-02-2023,99999,721.36,Unpaid,T2,
C0048,M8316,South,Residential,01/05/2023,620.25,NA,,T2,
C0049,M9377,East,Commercial,04-28-2023,390.25,,Paid,T1,Check meter
C0050,M3697,West,Residential,01-01-2023,113.83,NA,,T2,
